step etotal T e_pot stress Volume density
 50 -5557.196719 417.922430 -5618.131995 -1777107889.497271 1.080378e-26 1.316774e+03
100 -5594.150841 611.508271 -5683.311944 -2110073896.023884 1.078512e-26 1.319053e+03
150 -5621.056401 422.399513 -5682.644458 -1341416331.489997 1.074724e-26 1.323702e+03
200 -5658.947726 322.352948 -5705.948471 -1525302654.237485 1.069408e-26 1.330282e+03
250 -5688.995003 281.812684 -5730.084766 -639585737.936073 1.063015e-26 1.338282e+03
300 -5712.885493 245.475374 -5748.677086 138957659.290061 1.056074e-26 1.347077e+03
350 -5726.738225 241.197309 -5761.906054 613017241.004496 1.049180e-26 1.355928e+03
400 -5733.334554 257.783604 -5770.920751 1658675483.425020 1.043013e-26 1.363947e+03
450 -5732.203147 253.944863 -5769.229636 2492036131.665701 1.038278e-26 1.370166e+03
500 -5727.155886 309.182478 -5772.236308 3057433589.191084 1.035668e-26 1.373620e+03
